"filename", "language", "JavaScript", "JSON", "Python", "PostCSS", "Markdown", "JavaScript JSX", "XML", "HTML", "Excel", "CSV", "comment", "blank", "total"
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 184, 0, 0, 0, 0, 5, 25, 214
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\components\AdvancedSortModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 2, 22, 154
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\components\ChartModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 8, 6, 61
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\components\ChartWrapper.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 10, 3, 38
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\components\FiltrosSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 7, 6, 50
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\components\FloatingFilters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 2, 9, 194
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\components\FloatingUserInfo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 7, 37
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\components\Menu.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 1, 19, 201
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\components\Modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 10, 5, 36
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\components\ModalAlerta.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 9, 4, 36
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\components\ModalConfirmacao.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 10, 4, 36
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\components\ModalNotificacoesControle.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 1, 8, 105
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\components\Notificacoes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 11, 106
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\components\PageHeader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 7, 3, 25
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\components\TableModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 334, 0, 0, 0, 0, 5, 50, 389
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\components\TableWrapper.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 9, 3, 27
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
